titolo	anno	numero_prestiti
I giochi di Norma	2025	21
I giorni della terra: poesie	2022	4
I giorni della terra: poesie	2023	1
I grandi romanzi	2018	3
I grandi romanzi	2019	5
I grandi romanzi	2023	3
I grandi romanzi	2024	7
I libri degli altri	2018	22
I libri degli altri	2019	25
I libri degli altri	2020	23
I libri degli altri	2021	19
I libri degli altri	2022	18
I libri degli altri	2023	25
I libri degli altri	2024	25
I libri degli altri	2025	20
I meridiani	2018	8
I meridiani	2020	3
I meridiani	2025	12
I misteri d'Italia	2020	1
I misteri d'Italia	2022	3
I nostri antenati	2019	12
I nostri antenati	2021	5
I nostri antenati	2022	4
I nostri antenati	2022	6
I nostri antenati	2023	1
I nostri antenati	2023	10
I nostri antenati	2024	7
I peggiori anni della nostra vita	2019	1
I peggiori anni della nostra vita	2023	5
I piccoli maestri	2018	5
I poveri sono matti	2018	3
I poveri sono matti	2019	8
I poveri sono matti	2024	7
I poveri sono matti	2025	6
I promessi sposi	2021	5
I promessi sposi	2024	5
I promessi sposi	2025	5
I pugnalatori	2019	3
I pugnalatori	2021	3
I quarantanove racconti	2022	6
I quarantanove racconti	2023	5
I quarantanove racconti	2024	6
I racconti	2018	9
I racconti	2019	5
I racconti	2019	11
I racconti	2020	21
I racconti	2021	3
I racconti	2022	15
I racconti	2023	5
I racconti	2023	10
I racconti	2024	18
I racconti	2025	27
I ragazzi venuti dal Brasile	2018	19
I ragazzi venuti dal Brasile	2019	24
I ragazzi venuti dal Brasile	2020	8
I ragazzi venuti dal Brasile	2021	13
I ragazzi venuti dal Brasile	2022	18
I ragazzi venuti dal Brasile	2023	21
I ragazzi venuti dal Brasile	2024	20
I rapporti colpevoli	2020	6
I rapporti colpevoli	2021	12
I rapporti colpevoli	2022	4
I romanzi	2018	18
I romanzi	2020	12
I romanzi	2021	8
I romanzi	2022	18
I romanzi	2023	21
I romanzi	2025	21
I romanzi della maturità	2020	3
I romanzi della maturità	2024	1
I segreti d'Italia : storie, luoghi, personaggi nel romanzo di una nazione	2019	3
I segreti d'Italia : storie, luoghi, personaggi nel romanzo di una nazione	2021	4
I sommersi e i salvati	2018	28
I sommersi e i salvati	2019	10
I sommersi e i salvati	2020	30
I sommersi e i salvati	2021	11
I sommersi e i salvati	2023	8
I sommersi e i salvati	2024	14
I vecchi e i giovani	2018	10
I vecchi e i giovani	2020	16
I vecchi e i giovani	2021	11
I vecchi e i giovani	2022	14
I vecchi e i giovani	2023	26
I vecchi e i giovani	2025	23
I viaggi la morte	2019	4
I viaggi la morte	2020	5
I viaggi la morte	2023	3
I viaggi la morte	2024	6
I vicerè	2020	3
I vicerè	2025	3
I volatili del Beato Angelico	2023	2
II detenuto scomodo	2019	2
Il balordo	2023	5
Il balordo	2024	4
Il bar sotto il mare	2022	5
Il bar sotto il mare	2024	1
Il barone rampante	2018	5
Il barone rampante	2018	13
Il barone rampante	2019	6
Il barone rampante	2019	22
Il barone rampante	2020	5
Il barone rampante	2020	12
Il barone rampante	2021	9
Il barone rampante	2021	27
Il barone rampante	2022	10
Il barone rampante	2022	6
Il barone rampante	2022	25
Il barone rampante	2023	9
Il barone rampante	2024	9
Il barone rampante	2024	8
Il barone rampante	2025	20
Il bell' Antonio	2018	24
Il bell' antonio	2018	4
Il bell' Antonio	2019	8
Il bell' Antonio	2020	29
Il bell' antonio	2020	4
Il bell' Antonio	2021	25
Il bell' Antonio	2022	22
Il bell' Antonio	2023	21
Il bell' Antonio	2024	9
Il bell' Antonio	2025	14
Il cacciatore	2019	3
Il campiello sommerso	2022	4
Il Canzoniere	2018	1
Il Canzoniere	2020	4
Il cappotto di Astrakan	2018	23
Il cappotto di Astrakan	2019	11
Il cappotto di Astrakan	2020	12
Il cappotto di Astrakan	2021	28
Il cappotto di Astrakan	2022	5
Il cappotto di Astrakan	2023	17
Il cappotto di Astrakan	2023	8
Il cappotto di Astrakan	2024	15
Il cappotto di Astrakan	2024	11
Il cappotto di Astrakan	2025	16
Il cappotto di Astrakan	2025	9
Il castello dei destini incrociati	2018	13
Il castello dei destini incrociati	2019	18
Il castello dei destini incrociati	2020	21
Il castello dei destini incrociati	2021	30
Il castello dei destini incrociati	2021	12
Il castello dei destini incrociati	2022	5
Il castello dei destini incrociati	2023	23
Il castello dei destini incrociati	2024	17
Il castello dei destini incrociati	2025	29
Il castello dei destini incrociati	2025	5
Il castello di Udine	2018	10
Il castello di Udine	2019	17
Il castello di Udine	2020	13
Il castello di Udine	2021	26
Il castello di Udine	2022	15
Il castello di Udine	2023	26
Il castello di Udine	2024	20
Il castello di Udine	2025	29
Il cavaliere inesistente	2021	12
Il cavaliere inesistente	2022	9
Il cavaliere inesistente	2024	8
Il cavaliere inesistente	2024	2
Il cavaliere inesistente	2025	3
Il cavallo Tripoli	2018	2
Il cavallo Tripoli	2019	1
Il cielo è rosso	2019	7
Il cielo è rosso	2023	3
Il cielo è rosso	2025	3
Il cigno	2018	18
Il cigno	2019	9
Il cigno	2020	20
Il cigno	2021	11
Il cigno	2022	14
Il cigno	2023	28
Il cigno	2024	29
Il cigno	2025	24
Il cimitero marino	2018	10
Il cimitero marino	2021	12
Il cimitero marino	2022	7
Il cimitero marino	2024	5
Il cimitero marino	2025	3
Il circolo Pickwick	2018	8
Il circolo Pickwick	2024	12
Il circolo Pickwick	2025	7
Il clandestino	2021	4
Il clandestino	2022	2
Il colombre	2019	2
Il colombre	2024	4
Il compagno	2020	9
Il compagno	2022	5
Il compagno	2023	3
Il compagno	2024	8
Il compagno	2025	6
Il condottiero	2020	5
Il conformista	2018	5
Il conformista	2018	12
Il conformista	2019	10
Il conformista	2020	12
Il conformista	2020	24
Il conformista	2021	9
Il conformista	2021	10
Il conformista	2022	11
Il conformista	2023	16
Il conformista	2024	28
Il Consiglio d'Egitto	2018	17
Il Consiglio d'Egitto	2020	4
Il Consiglio d'Egitto	2021	28
Il Consiglio d'Egitto	2021	4
Il Consiglio d'Egitto	2022	14
Il Consiglio d'Egitto	2023	18
Il Consiglio d'Egitto	2023	3
Il Consiglio d'Egitto	2024	24
Il Consiglio d'Egitto	2025	10
Il contesto	2018	10
Il contesto	2018	24
Il contesto	2019	6
Il contesto	2019	11
Il contesto	2021	8
Il contesto	2021	20
Il contesto	2022	9
Il contesto	2023	21
Il contesto	2024	4
Il contesto	2025	9
Il contesto	2025	16
il corpo umano	2018	3
il corpo umano	2019	3
il corpo umano	2022	6
il corpo umano	2023	3
il corpo umano	2025	10
Il cortegiano	2018	13
Il cortegiano	2020	12
Il cortegiano	2021	23
Il cortegiano	2022	18
Il cortegiano	2023	15
Il cortegiano	2024	8
Il cortegiano	2025	16
Il deserto dei Tartari	2018	24
Il deserto dei Tartari	2018	26
Il deserto dei Tartari	2019	14
Il deserto dei Tartari	2019	12
Il deserto dei Tartari	2019	21
Il deserto dei Tartari	2020	29
Il deserto dei Tartari	2020	21
Il deserto dei Tartari	2020	13
Il deserto dei Tartari	2021	16
Il deserto dei Tartari	2021	29
Il deserto dei Tartari	2022	30
Il deserto dei Tartari	2022	10
Il deserto dei Tartari	2022	29
Il deserto dei Tartari	2023	29
Il deserto dei Tartari	2023	10
Il deserto dei Tartari	2024	28
Il deserto dei Tartari	2024	15
Il deserto dei Tartari	2024	24
Il deserto dei Tartari	2025	10
Il deserto dei Tartari	2025	22
Il deserto dei Tartari	2025	19
Il deserto della Libia	2021	5
Il deserto della Libia	2021	4
Il deserto della Libia	2022	4
Il deserto della Libia	2023	4
Il dio di Rosario	2024	4
Il dio di Roserio	2020	3
Il dio di Roserio	2021	4
Il dio di Roserio	2022	7
Il dio di Roserio	2023	8
Il dio di Roserio	2025	8
il disertore	2023	5
Il disprezzo	2024	3
Il drago in discarica	2021	2
Il drago in discarica	2023	5
Il fidanzamento	2019	4
Il fidanzamento	2020	3
Il fidanzamento	2022	9
Il fidanzamento	2023	12
Il fidanzamento	2024	11
Il figlio del farmacista	2022	3
Il figlio del farmacista	2023	5
Il figlio del farmacista	2024	6
Il figlio del farmacista	2025	8
Il filo dell'orizzonte	2018	12
Il filo dell'orizzonte	2018	27
Il filo dell'orizzonte	2019	26
Il filo dell'orizzonte	2020	12
Il filo dell'orizzonte	2020	22
Il filo dell'orizzonte	2021	14
Il filo dell'orizzonte	2022	14
Il filo dell'orizzonte	2023	29
Il filo dell'orizzonte	2024	7
Il filo dell'orizzonte	2024	18
Il filo dell'orizzonte	2025	17
Il fu Mattia Pascal	2018	11
Il fu Mattia Pascal	2018	18
Il fu Mattia Pascal	2018	15
Il fu Mattia Pascal	2019	30
Il fu Mattia Pascal	2019	28
Il fu Mattia Pascal	2019	15
Il fu Mattia Pascal	2020	13
Il fu Mattia Pascal	2020	17
Il fu Mattia Pascal	2020	17
Il fu Mattia Pascal	2021	9
Il fu Mattia Pascal	2021	30
Il fu Mattia Pascal	2021	22
Il fu Mattia Pascal	2022	14
Il fu Mattia Pascal	2022	16
Il fu Mattia Pascal	2022	28
Il fu Mattia Pascal	2023	16
Il fu Mattia Pascal	2023	27
Il fu Mattia Pascal	2023	12
Il fu Mattia Pascal	2024	23
Il fu Mattia Pascal	2024	28
Il fu Mattia Pascal	2024	12
Il fu Mattia Pascal	2025	28
Il fu Mattia Pascal	2025	20
Il fu Mattia Pascal	2025	24
Il galateo in bosco	2019	11
Il galateo in bosco	2020	3
Il galateo in bosco	2023	12
Il galateo in bosco	2024	5
Il garofano rosso	2025	4
Il gattopardo	2019	11
Il gattopardo	2022	4
Il gattopardo	2023	9
Il gattopardo	2024	4
Il giardino dei Finzi Contini	2018	26
Il giardino dei Finzi Contini	2019	29
Il giardino dei Finzi Contini	2020	20
Il giardino dei Finzi Contini	2021	20
Il giardino dei Finzi Contini	2022	30
Il giardino dei Finzi Contini	2023	14
Il giardino dei Finzi Contini	2023	2
Il giardino dei Finzi Contini	2024	10
Il giardino dei Finzi Contini	2024	1
Il giardino dei Finzi Contini	2024	1
Il giardino dei Finzi Contini	2025	26
Il giardino dei Finzi Contini	2025	1
il giocatore invisibile	2019	4
il giocatore invisibile	2021	3
il giocatore invisibile	2024	6
Il giorno della civetta	2018	20
Il giorno della civetta	2019	11
Il giorno della civetta	2020	11
Il giorno della civetta	2021	10
Il giorno della civetta	2022	23
Il giorno della civetta	2023	25
Il grande ritratto	2018	4
Il grande ritratto	2020	11
Il grande ritratto	2022	7
Il grande ritratto	2024	8
Il grande ritratto	2025	4
Il guerriero, l'amazzone lo spirito della poesia nel verso immortale del Foscolo	2018	9
Il guerriero, l'amazzone lo spirito della poesia nel verso immortale del Foscolo	2022	3
Il guerriero, l'amazzone lo spirito della poesia nel verso immortale del Foscolo	2024	3
Il libro dei buoni incontri di guerra e pace	2018	4
Il libro dei buoni incontri di guerra e pace	2019	11
Il libro dei buoni incontri di guerra e pace	2020	6
Il libro della giungra	2018	5
Il libro della giungra	2023	9
Il libro della giungra	2024	4
Il libro delle gaffe	2018	12
Il libro delle gaffe	2021	8
Il libro delle gaffe	2023	5
Il libro delle gaffe	2024	3
Il libro delle vergini	2019	6
Il libro delle vergini	2020	9
Il libro delle vergini	2022	11
Il libro delle vergini	2024	12
Il male oscuro	2018	7
Il male oscuro	2020	10
Il male oscuro	2024	4
Il malpensante lunario dell'anno che fu	2023	1
Il manager dei bagni pubblici	2020	5
Il mare colore del vino	2018	22
Il mare colore del vino	2019	11
Il mare colore del vino	2019	16
Il mare colore del vino	2020	27
Il mare colore del vino	2021	24
Il mare colore del vino	2021	25
Il mare colore del vino	2022	13
Il mare colore del vino	2023	29
Il mare colore del vino	2023	10
Il mare colore del vino	2024	14
Il mare colore del vino	2024	24
Il mare colore del vino	2025	23
Il mare colore del vino	2025	12
Il medico di Gerusalemme	2018	28
Il medico di Gerusalemme	2019	13
Il medico di Gerusalemme	2020	11
Il medico di Gerusalemme	2021	12
Il medico di Gerusalemme	2022	5
Il medico di Gerusalemme	2023	14
Il medico di Gerusalemme	2024	8
Il mercante di libri maledetti	2018	9
Il mercante di libri maledetti	2020	10
Il mercante di libri maledetti	2023	12
Il mestiere di vivere	2019	6
Il mestiere di vivere	2021	7
Il mestiere di vivere	2022	6
Il mestiere di vivere	2023	6
Il mestiere di vivere	2025	6
Il mio bosco è di tutti	2023	5
Il mio Carso	2020	12
Il mio Carso	2021	5
Il mio Carso	2022	10
Il mio Carso	2025	3
Il mio nome è nessuno il ritorno	2022	5
Il mio nome è nessuno il ritorno	2024	8
Il mio nome è nessuno il ritorno	2025	5
Il momento è delicato	2018	9
Il momento è delicato	2020	7
Il momento è delicato	2023	3
Il momento è delicato	2025	3
Il mondo creato	2018	8
Il mondo creato	2020	12
Il mondo creato	2021	10
Il mondo creato	2025	10
Il mondo dei vinti	2018	4
Il mondo dei vinti	2021	4
Il mulino del Po	2019	5
Il mulino del Po	2022	4
Il mulino del Po	2024	11
Il mulino del po (volume primo)	2018	3
Il mulino del po (volume primo)	2021	11
Il mulino del po (volume primo)	2022	3
Il mulino del po (volume primo)	2024	8
Il mulino del po (volume secondo)	2019	5
Il mulino del po (volume secondo)	2023	5
Il nome della rosa	2018	8
Il nome della rosa	2020	10
Il nome della rosa	2022	11
Il nome della rosa	2023	5
Il novellino	2018	8
Il novellino	2019	4
Il novellino	2022	4
Il nudo e il morto	2018	9
Il nudo e il morto	2020	5
Il nudo e il morto	2022	8
Il nudo e il morto	2024	5
Il nudo e il morto	2025	8
Il padrino	2021	3
Il paese sbagliato	2021	11
Il paese sbagliato	2022	10
Il paese sbagliato	2024	3
Il pappagallo di Flaubert	2018	12
Il pappagallo di Flaubert	2019	29
Il pappagallo di Flaubert	2020	17
Il pappagallo di Flaubert	2021	15
Il pappagallo di Flaubert	2022	24
Il pappagallo di Flaubert	2023	21
Il pappagallo di Flaubert	2024	17
Il pappagallo di Flaubert	2025	26
Il passo dei Longobardi	2018	8
Il passo dei Longobardi	2021	9
Il passo dei Longobardi	2024	9
Il passo dei Longobardi	2025	10
Il pecorone	2021	11
Il pecorone	2022	5
Il pecorone	2023	10
Il pendolo di Foucault	2020	9
Il pendolo di Foucault	2021	8
Il pendolo di Foucault	2022	10
Il pendolo di Foucault	2023	9
Il pendolo di Foucault	2024	28
Il pendolo di Foucault	2025	26
Il piacere della memoria	2021	9
Il piacere della memoria	2022	4
Il piacere della memoria	2023	3
Il piacere della memoria	2024	6
Il pianeta sconosciuto	2018	7
Il pianeta sconosciuto	2019	5
Il pianeta sconosciuto	2020	10
Il pianeta sconosciuto	2022	12
Il pianto del figlio di Lais - Lo sguardo di Gesù	2018	12
Il pianto del figlio di Lais - Lo sguardo di Gesù	2019	8
Il pianto del figlio di Lais - Lo sguardo di Gesù	2020	10
Il pianto del figlio di Lais - Lo sguardo di Gesù	2021	3
Il pianto del figlio di Lais - Lo sguardo di Gesù	2024	4
Il piatto piange	2018	1
Il piatto piange	2019	8
Il piatto piange	2024	5
Il piatto piange	2024	1
Il piatto piange	2025	12
Il più grande uomo scimmia del Pleistocene	2019	5
Il più grande uomo scimmia del Pleistocene	2021	11
Il più grande uomo scimmia del Pleistocene	2024	4
Il più grande uomo scimmia del Pleistocene	2025	8
Il podere	2023	5
Il podere	2025	2
Il ponte della ghisolfa	2018	27
Il ponte della ghisolfa	2019	26
Il ponte della ghisolfa	2020	23
Il ponte della ghisolfa	2021	24
Il ponte della ghisolfa	2021	4
Il ponte della ghisolfa	2022	28
Il ponte della ghisolfa	2023	23
Il ponte della ghisolfa	2024	23
Il ponte della ghisolfa	2025	13
Il ponte della ghisolfa	2025	1
Il possidente	2020	2
Il possidente	2025	1
Il potere e la gloria	2018	2
Il prato in fondo al mare	2018	20
Il prato in fondo al mare	2019	25
Il prato in fondo al mare	2020	20
Il prato in fondo al mare	2021	25
Il prato in fondo al mare	2022	18
Il prato in fondo al mare	2023	16
Il prato in fondo al mare	2024	24
Il prato in fondo al mare	2025	22
Il predicatore vagante	2020	4
Il prete bello	2018	14
Il prete bello	2019	12
Il prete bello	2021	9
Il prete bello	2022	21
Il prete bello	2024	10
Il prete bello	2025	29
Il pretore di Cuvio	2019	5
Il pretore di Cuvio	2022	8
Il pretore di Cuvio	2024	8
Il prezzo era alto	2018	5
Il prezzo era alto	2019	3
Il prezzo era alto	2022	12
Il prezzo era alto	2025	10
Il Principe	2018	23
Il Principe	2019	30
Il Principe	2020	11
Il Principe	2021	22
Il Principe	2022	23
Il Principe	2024	15
Il Principe	2025	10
Il professore di Harvard	2019	1
Il professore di Harvard	2020	4
Il provinciale	2019	3
Il Quartiere	2019	4
Il Quartiere	2020	3
Il Quartiere	2020	9
Il Quartiere	2021	6
Il Quartiere	2024	11
Il Quartiere	2025	12
Il ragazzo invisibile	2018	24
Il ragazzo invisibile	2019	17
Il ragazzo invisibile	2020	10
Il ragazzo invisibile	2021	16
Il ragazzo invisibile	2022	14
Il ragazzo invisibile	2023	28
Il ragazzo invisibile	2024	25
Il ragazzo invisibile	2025	16
Il regno dell'uomo	2018	9
Il regno dell'uomo	2019	26
Il regno dell'uomo	2021	28
Il regno dell'uomo	2023	20
Il regno dell'uomo	2024	29
Il regno dell'uomo	2025	23
Il ritorno	2019	3
Il ritorno	2021	7
Il ritorno	2023	6
Il ritorno del padre	2019	5
Il saggiatore	2021	1
Il segreto di Luca	2020	2
Il segreto di Luca	2024	1
Il selvaggio di Santa Venere	2018	2
Il seme sotto la neve	2019	2
Il seme sotto la neve	2020	2
Il sentiero dei nidi di ragno	2019	8
Il sentiero dei nidi di ragno	2021	12
Il sentiero dei nidi di ragno	2022	7
IL sentiero dei nidi di ragno	2022	5
Il sentiero dei nidi di ragno	2025	7
IL sentiero dei nidi di ragno	2025	4
Il sergente della neve	2018	14
Il sergente della neve	2019	18
Il sergente della neve	2020	23
Il sergente della neve	2021	22
Il sergente della neve	2022	18
Il sergente della neve	2023	27
Il sergente della neve	2024	29
Il silenzio dell'onda	2018	24
Il silenzio dell'onda	2019	10
Il silenzio dell'onda	2020	20
Il silenzio dell'onda	2021	17
Il silenzio dell'onda	2022	18
Il silenzio dell'onda	2024	15
Il silenzio dell'onda	2025	18
Il sistema periodico	2019	13
Il sistema periodico	2021	23
Il sistema periodico	2022	28
Il sistema periodico	2023	25
Il sistema periodico	2024	30
Il sistema periodico	2025	28
Il superstite	2024	2
Il taglio del bosco	2020	7
Il taglio del bosco	2022	4
Il taglio del bosco	2024	12
Il taglio del bosco	2025	11
Il tallone di ferro	2018	4
Il teatro della memoria	2021	3
Il teatro della memoria	2022	8
Il teatro della memoria	2024	6
Il tempio della luce	2018	23
Il tempio della luce	2019	11
Il tempio della luce	2020	16
Il tempio della luce	2021	10
Il tempio della luce	2022	20
Il tempio della luce	2023	28
Il tempio della luce	2024	15
Il tempio della luce	2025	29
Il tempo invecchia in fretta	2018	12
Il tempo invecchia in fretta	2019	11
Il tempo invecchia in fretta	2019	1
Il tempo invecchia in fretta	2020	30
Il tempo invecchia in fretta	2022	16
Il tempo invecchia in fretta	2022	5
Il tempo invecchia in fretta	2024	18
Il tempo invecchia in fretta	2025	24
Il terzo aspetto	2018	16
Il terzo aspetto	2019	9
Il terzo aspetto	2021	23
Il terzo aspetto	2022	30
Il terzo aspetto	2023	22
Il terzo aspetto	2024	25
Il terzo aspetto	2025	17
Il tesoro dei Pellizzari	2020	8
Il tesoro dei Pellizzari	2021	4
Il tesoro dei Pellizzari	2022	4
Il tesoro dei Pellizzari	2023	11
Il tesoro dei Pellizzari	2025	4
Il torno di legno	2019	3
Il treno di legno	2019	9
Il treno di legno	2022	11
Il treno di legno	2024	8
Il treno di legno	2025	5
Il Varmo Novella paesana	2018	4
Il vecchio con gli stivali e i racconti	2018	22
Il vecchio con gli stivali e i racconti	2019	4
Il vecchio con gli stivali e i racconti	2019	24
Il vecchio con gli stivali e i racconti	2020	4
Il vecchio con gli stivali e i racconti	2021	24
Il vecchio con gli stivali e i racconti	2022	27
Il vecchio con gli stivali e i racconti	2023	13
Il vecchio con gli stivali e i racconti	2024	19
Il vecchio con gli stivali e i racconti	2025	19
Il vecchio e il mare	2019	16
Il vecchio e il mare	2020	20
Il vecchio e il mare	2021	8
Il vecchio e il mare	2022	13
Il vecchio e il mare	2023	22
Il vecchio e il mare	2024	15
Il vecchio e il mare	2025	16
Il velo di Maya	2019	28
Il velo di Maya	2020	26
Il velo di Maya	2021	14
Il velo di Maya	2022	25
Il velo di Maya	2023	27
Il velo di Maya	2024	24
Il velocifero	2018	8
Il velocifero	2020	10
Il velocifero	2023	10
Il visconte dimezzato	2018	4
Il visconte dimezzato	2018	13
Il visconte dimezzato	2019	10
Il visconte dimezzato	2019	16
Il visconte dimezzato	2020	4
Il visconte dimezzato	2020	9
Il visconte dimezzato	2021	11
Il visconte dimezzato	2023	12
Il visconte dimezzato	2024	21
Il visconte dimezzato	2025	10
Il visconte dimezzato	2025	24
Illazioni su una sciabola	2019	30
Illazioni su una sciabola	2020	28
Illazioni su una sciabola	2021	23
Illazioni su una sciabola	2023	26
Illazioni su una sciabola	2024	15
Illazioni su una sciabola	2025	18
In gita di distruzione	2018	20
In gita di distruzione	2019	19
In gita di distruzione	2020	13
In gita di distruzione	2021	22
In gita di distruzione	2022	9
In gita di distruzione	2023	16
In gita di distruzione	2025	22
In Vespa: da Roma a Saigon	2018	12
In Vespa: da Roma a Saigon	2020	9
In Vespa: da Roma a Saigon	2021	12
In Vespa: da Roma a Saigon	2025	9
Infanzia carnica	2018	12
Infanzia carnica	2019	22
Infanzia carnica	2020	10
Infanzia carnica	2021	23
Infanzia carnica	2022	22
Infanzia carnica	2023	28
Infanzia carnica	2024	17
Infanzia carnica	2025	16
Inseparabili	2020	4
Intervista con la storia	2023	2
Intervista con la storia	2024	3
Intervista Oriana Fallaci	2022	3
Intervista Oriana Fallaci	2025	5
Invasioni	2021	8
Invasioni	2022	5
Invasioni	2023	12
Io dentro gli spari	2018	5
Io dentro gli spari	2022	4
Io e lui	2018	22
Io e lui	2019	20
Io e lui	2020	11
Io e lui	2021	25
Io e lui	2022	16
Io e lui	2023	23
Io e lui	2024	30
Io e lui	2025	12
Io, robot	2018	8
Io, robot	2019	23
Io, robot	2020	12
Io, robot	2021	18
Io, robot	2022	30
Io, robot	2025	20
Itinerario lirico leopardiano	2018	1
Itinerario lirico leopardiano	2021	3
Jack Frusciante è uscito dal gruppo	2019	28
Jack Frusciante è uscito dal gruppo	2020	12
Jack Frusciante è uscito dal gruppo	2022	15
Jack Frusciante è uscito dal gruppo	2023	11
Jack Frusciante è uscito dal gruppo	2024	12
Jack Frusciante è uscito dal gruppo	2025	16
Kim	2018	22
Kim	2019	14
Kim	2020	28
Kim	2021	26
Kim	2022	19
Kim	2024	9
Kim	2025	8
L' albero delle parole: grandi poeti di tutto il mondo per i bambini	2018	16
L' albero delle parole: grandi poeti di tutto il mondo per i bambini	2020	13
L' albero delle parole: grandi poeti di tutto il mondo per i bambini	2021	26
L' albero delle parole: grandi poeti di tutto il mondo per i bambini	2022	16
L' albero delle parole: grandi poeti di tutto il mondo per i bambini	2023	9
L' albero delle parole: grandi poeti di tutto il mondo per i bambini	2024	11
L' albero delle parole: grandi poeti di tutto il mondo per i bambini	2025	27
L'affaire Moro	2019	11
L'affaire Moro	2020	9
L'affaire Moro	2022	7
L'agente segreto	2018	21
L'agente segreto	2019	29
L'agente segreto	2020	13
L'agente segreto	2021	9
L'agente segreto	2022	27
L'agente segreto	2023	18
L'agente segreto	2024	13
L'agente segreto	2025	8
L'agnese va a morire	2018	6
L'agnese va a morire	2019	9
L'agnese va a morire	2020	12
L'agnese va a morire	2024	9
L'alba ai vetri	2018	7
L'alba ai vetri	2021	5
L'alba ai vetri	2023	10
L'alba delle passioni	2019	4
L'albero dei sogni	2018	4
L'albero dei sogni	2021	6
L'albero dei sogni	2023	5
L'albero dei sogni	2025	12
L'alchimista degli strati	2019	10
L'alchimista degli strati	2021	3
L'alchimista degli strati	2023	11
L'alchimista degli strati	2024	3
L'alchimista degli strati	2025	11
L'Aldagisa disegni milanesi	2018	9
L'Aldagisa disegni milanesi	2020	12
L'Aldagisa disegni milanesi	2021	12
L'America quaternaria	2018	15
L'America quaternaria	2019	12
L'America quaternaria	2020	30
L'America quaternaria	2021	18
L'America quaternaria	2022	15
L'America quaternaria	2023	29
L'America quaternaria	2024	20
L'America quaternaria	2025	23
L'amica geniale	2020	3
L'amica geniale	2021	3
L'amica geniale	2022	7
L'amicizia	2023	3
L'amicizia	2024	1
L'ammezzato	2020	5
L'ammezzato	2025	5
L'amore rubato	2025	1
L'anno della vittoria	2019	5
L'anno della vittoria	2021	1
L'antologia dei poeti italiani dell'ultimo secolo	2018	21
L'antologia dei poeti italiani dell'ultimo secolo	2019	16
L'antologia dei poeti italiani dell'ultimo secolo	2020	26
L'antologia dei poeti italiani dell'ultimo secolo	2022	9
L'antologia dei poeti italiani dell'ultimo secolo	2023	23
L'antologia dei poeti italiani dell'ultimo secolo	2025	25
L'armata dei fiumi perduti	2018	12
L'armata dei fiumi perduti	2020	3
L'armata dei fiumi perduti	2021	6
L'armata dei fiumi perduti	2022	8
L'armata dei fiumi perduti	2022	3
L'armata dei fiumi perduti	2023	11
L'armata dei fiumi perduti	2024	7
L'armata dei fiumi perduti	2025	10
l'arpa d'erba	2019	28
l'arpa d'erba	2021	14
l'arpa d'erba	2022	25
l'arpa d'erba	2023	27
l'arpa d'erba	2024	27
l'arpa d'erba	2025	28
L'arrotino appassionato	2020	9
L'arrotino appassionato	2021	4
L'arrotino appassionato	2023	5
L'arrotino appassionato	2025	7
L'assassinio di Via Belpoggio	2021	5
L'attenzione	2018	12
L'attenzione	2019	6
L'attenzione	2020	10
L'attenzione	2022	11
L'attenzione	2023	7
L'avventura d'un povero cristiano	2018	1
L'avventura d'un povero cristiano	2019	4
L'avventura d'un povero cristiano	2022	3
L'avventura d'un povero cristiano	2023	10
L'avventura d'un povero cristiano	2024	8
L'avventura d'un povero cristiano	2025	5
L'avvocatino	2018	10
L'avvocatino	2019	5
L'avvocatino	2025	4
L'entrata in guerra	2018	27
L'entrata in guerra	2019	16
L'entrata in guerra	2020	8
L'entrata in guerra	2021	10
L'entrata in guerra	2022	15
L'entrata in guerra	2023	29
L'entrata in guerra	2025	26
L'estate alla fine del secolo	2018	15
L'estate alla fine del secolo	2019	30
L'estate alla fine del secolo	2020	10
L'estate alla fine del secolo	2021	10
L'estate alla fine del secolo	2022	16
L'estate alla fine del secolo	2023	12
L'estate alla fine del secolo	2025	20
L'estate che uno diventa grande	2024	1
L'estate che uno diventa grande	2025	3
L'estate è già finita	2018	1
L'estate è già finita	2023	5
L'età breve	2021	2
L'età breve	2022	3
L'Europa semilibera	2018	5
L'Europa semilibera	2019	10
L'Europa semilibera	2021	12
L'Europa semilibera	2022	9
L'Europa semilibera	2025	4
L'incendio	2019	4
L'inghippo	2018	8
L'inghippo	2019	6
L'inghippo	2022	10
L'inghippo	2025	9
L'innominabile	2024	2
L'innominabile	2025	3
L'inverno delle more	2019	4
L'ipocrita	2019	1
L'ipocrita	2022	1
L'isola dei due mondi	2020	5
L'isola dei due mondi	2025	5
L'isola di Arturo	2018	11
L'isola di Arturo	2020	11
L'isola di Arturo	2021	6
L'isola di Arturo	2023	4
L'isola e le rose	2018	13
L'isola e le rose	2019	25
L'isola e le rose	2020	9
L'isola e le rose	2021	20
L'isola e le rose	2022	29
L'isola e le rose	2023	14
L'isola e le rose	2024	17
L'isola e le rose	2025	30
L'odore del fieno	2018	12
L'odore del fieno	2019	12
L'odore del fieno	2020	26
L'odore del fieno	2021	17
L'odore del fieno	2022	10
L'odore del fieno	2023	15
L'odore del fieno	2024	11
L'onorevole ; Recitazione della controversia liparitana ; I mafiosi	2018	18
L'onorevole ; Recitazione della controversia liparitana ; I mafiosi	2019	27
